design_id,status_ok,scenario_tag,error_msg,wing_span,wing_AR,wing_chord,dihedral,htail_span,htail_AR,htail_incidence,vtail_height,vtail_AR,tail_arm,nose_x,n_ducks,n_pucks,mass_kg,Sref,Cref,Bref,CG_x_m,CG_z_m,CG_pct,Ixx,Iyy,Izz,Ixz,Vht,Vvt,CL_cruise,alpha_deg,elevator_deg,CL,CDtot,CDi,span_eff_e,Xnp_m,SM_pct,CLa,Cma,CYb,Clb,Cnb,CLq,Cmq,CYp,CYr,Clp,Clr,Cnp,Cnr,spiral_ratio,ph_sigma,ph_omega,ph_t2,sp_sigma,sp_omega,sp_t2,dr_sigma,dr_omega,dr_t2,roll_sigma,roll_omega,roll_t2,spiral_sigma,spiral_omega,spiral_t2,flag_pitch_unstable,flag_low_SM,flag_high_SM,flag_high_trim,flag_directional_unstable,flag_weak_directional,flag_bad_dihedral_effect,flag_spiral_unstable,flag_dutch_unstable,flag_high_drag,flag_slow_or_heavy,badness_score,fixability_score
21,1,pitch_unstable_aft_or_weak_tail,,1.2,3,0.4,4,0.25,2.5,-4,0.16,1.5,0.85,-0.26,3,1,3.7489926,0.48,0.4,1.2,0.0474647802185579,-0.00873568008643175,11.8661950546395,0.117462856477169,0.190127545294112,0.306476155270276,0.00669072155215777,0.110677083333333,0.0251851851851852,0.17159662106324,-1.1156,-14.6688,0.1716,0.00807,0.0077962,NaN,0.095514,12.0123049453605,3.165605,0.181379,-0.076844,-0.038699,0.046108,3.481836,-1.57624,-0.076052,0.11673,-0.280086,0.074075,0.000866,-0.074192,0.840637726781603,0.478950596700028,0,1.4472206222014,-4.41086214692496,3.38683846211537,9999,-0.396775248567428,5.37363303595465,9999,-522.799826105777,0,9999,0.0142078343789064,0,48.7862655260834,1,0,0,0,0,0,0,1,0,0,0,5,5
22,1,pitch_unstable_aft_or_weak_tail,,1.2,3,0.4,4,0.25,2.5,-4,0.16,1.5,0.85,-0.2,3,1,3.7263726,0.48,0.4,1.2,0.0728739417523626,-0.00878870781735568,18.2184854380906,0.117461119818982,0.154069116903547,0.270419463537899,0.00582412159238988,0.110677083333333,0.0251851851851852,0.170561272108844,-1.13384,-14.68432,0.17056,0.00804,0.0077694,NaN,0.095497,5.65576456190935,3.165665,0.181519,-0.076842,-0.038713,0.046108,3.482006,-1.576192,-0.076088,0.116672,-0.280108,0.07388,0.000924,-0.074167,0.842877321372401,0.476362288987358,0,1.45508407484023,-4.43238334708183,3.42172057990247,9999,-0.396753016293718,5.37340484426171,9999,-523.350950586186,0,9999,0.0139723503239319,0,49.6084885141136,1,0,0,0,0,0,0,1,0,0,0,5,5
23,1,pitch_unstable_aft_or_weak_tail,,1.2,3,0.4,4,0.25,2.5,-4,0.16,1.5,0.85,-0.14,3,1,3.7037526,0.48,0.4,1.2,0.0982270278527783,-0.00884238326285616,24.5567569631946,0.117459361948141,0.123606721844803,0.239958826349995,0.00495568516217849,0.110677083333333,0.0251851851851852,0.169525923154447,-1.15206,-14.69983,0.16953,0.00801,0.0077428,NaN,0.095479,-0.687006963194573,3.165725,0.181659,-0.076839,-0.038728,0.046108,3.482175,-1.576143,-0.076123,0.116614,-0.280129,0.073685,0.000982,-0.074142,0.845150386376857,0.473792768046214,0,1.46297543421417,-4.45411818650311,3.4565638871815,9999,-0.396730316685368,5.3731668431395,9999,-523.869845814701,0,9999,0.0137349272133337,0,50.4660250319379,1,1,0,0,0,0,0,1,0,0,0,7,6.25
24,1,pitch_unstable_aft_or_weak_tail,,1.2,3,0.4,4,0.25,2.5,-4,0.16,1.5,0.85,-0.08,3,1,3.6811326,0.48,0.4,1.2,0.123523004794774,-0.00889671836325592,30.8807511986936,0.117457582473603,0.0987374287977889,0.215091312777519,0.00408537840702886,0.110677083333333,0.0251851851851852,0.16849057420005,-1.17028,-14.71535,0.16849,0.00798,0.0077165,NaN,0.095462,-7.01525119869358,3.165783,0.1818,-0.076836,-0.038742,0.046108,3.482343,-1.576095,-0.076159,0.116556,-0.280151,0.073489,0.00104,-0.074117,0.847424950756232,0.471216910216523,0,1.47097263602328,-4.47607808399984,3.49138326944201,9999,-0.396720083517531,5.37290528512178,9999,-524.35890904453,0,9999,0.0134981930357626,0,51.3511089020211,1,1,0,0,0,0,0,1,0,0,0,7,6.25
25,1,excessive_trim_required,,1.2,3,0.4,4,0.25,2.5,-4,0.2,1.5,0.55,-0.26,3,1,3.584295,0.48,0.4,1.2,0.0319760162040234,-0.00913708274570034,7.99400405100585,0.117449710540078,0.145438666887478,0.261729889680733,0.00618346453068176,0.0716145833333334,0.025462962962963,0.164058182161754,-0.50474,-32.23257,0.16406,0.01666,0.0159783,NaN,0.093039,15.2657459489942,3.14877,-0.000318,-0.113245,-0.042522,0.047842,3.680429,-1.092417,-0.083163,0.128597,-0.280357,0.082497,0.002428,-0.0574,0.618412263153709,-0.016292614962035,0,9999,-2.13964022636453,0,9999,-0.427124500223584,6.4278993843629,9999,-561.849092729166,0,9999,0.0387374679486433,0,17.8934560585864,0,0,0,1,0,0,0,1,0,0,0,3.5,3.5
26,1,excessive_trim_required,,1.2,3,0.4,4,0.25,2.5,-4,0.2,1.5,0.55,-0.2,3,1,3.561675,0.48,0.4,1.2,0.0575091284297416,-0.00919511185046362,14.3772821074354,0.117447810086897,0.112031747113026,0.228324870359462,0.00532092395607404,0.0716145833333334,0.025462962962963,0.163022833207357,-0.52357,-32.23254,0.16302,0.01663,0.01595,NaN,0.093021,8.8779678925646,3.148839,-0.000174,-0.113243,-0.042538,0.047842,3.680611,-1.092373,-0.083204,0.128537,-0.280383,0.082291,0.002483,-0.057373,0.61990188900848,-0.00808521908535779,0,9999,-2.14422034314104,0,9999,-0.427242755491446,6.4273880365256,9999,-562.196935925949,0,9999,0.0384923690568888,0,18.0073920505003,0,0,0,1,0,0,0,1,0,0,0,3.5,3.5
27,1,low_static_margin,,1.2,3,0.4,4,0.25,2.5,-4,0.2,1.5,0.55,-0.14,3,1,3.539055,0.48,0.4,1.2,0.0829851401009592,-0.00925388274553518,20.7462850252398,0.117445885340084,0.0841430233327683,0.200438071326018,0.00445651333830641,0.0716145833333334,0.025462962962963,0.16198748425296,-0.54242,-32.23253,0.16199,0.0166,0.0159219,NaN,0.093003,2.50446497476021,3.148907,-3.1e-05,-0.113242,-0.042554,0.047842,3.680792,-1.092329,-0.083246,0.128477,-0.28041,0.082085,0.002537,-0.057345,0.621387935608851,-0.00133391264069565,0,9999,-2.14884663680919,0,9999,-0.427369125097878,6.42686203476616,9999,-562.49866557697,0,9999,0.0382480935333741,0,18.1223981779674,0,1,0,1,0,0,0,1,0,0,0,5.5,4.75
28,1,pitch_unstable_aft_or_weak_tail,,1.2,3,0.4,4,0.25,2.5,-4,0.2,1.5,0.55,-0.08,3,1,3.516435,0.48,0.4,1.2,0.108402949293816,-0.00931340974595009,27.100737323454,0.11744393583082,0.0617697171429997,0.178066714645513,0.00359019658937247,0.0716145833333334,0.025462962962963,0.160952135298564,-0.56126,-32.23253,0.16095,0.01657,0.0158941,NaN,0.092984,-3.85473732345402,3.148974,0.000112,-0.11324,-0.04257,0.047842,3.680972,-1.092285,-0.083287,0.128417,-0.280437,0.081878,0.002591,-0.057318,0.622899705856668,0.00451774077980305,0,153.427833588576,-2.15354993497763,0,9999,-0.427515348682308,6.42631066144684,9999,-562.750162309212,0,9999,0.0380014691947023,0,18.2400100640471,1,1,0,1,0,0,0,1,0,0,0,8.5,7
29,1,pitch_unstable_aft_or_weak_tail,,1.2,3,0.4,4,0.25,2.5,-4,0.2,1.5,0.7,-0.26,3,1,3.673095,0.48,0.4,1.2,0.0409332184438464,-0.00891618648578379,10.2333046109616,0.117456944892591,0.169965223798075,0.286249212238818,0.00647681290403597,0.0911458333333333,0.0324074074074074,0.168122682035777,-0.90242,-21.76434,0.16812,0.01095,0.0105772,NaN,0.094159,13.3064453890384,3.159373,0.093675,-0.114841,-0.043679,0.060581,3.573512,-1.285602,-0.084738,0.153389,-0.281114,0.08198,0.005055,-0.084397,0.742258781648319,0.398982497577973,0,1.73728718619915,-4.43355804927583,2.44941552944194,9999,-0.561765977527543,6.59725463687143,9999,-542.715570548575,0,9999,0.0261403508844107,0,26.5163686449717,1,0,0,1,0,0,0,1,0,0,0,6.5,5.75
30,1,pitch_unstable_aft_or_weak_tail,,1.2,3,0.4,4,0.25,2.5,-4,0.2,1.5,0.7,-0.2,3,1,3.650475,0.48,0.4,1.2,0.0663654592895445,-0.00897143522418315,16.5913648223861,0.117455135496408,0.135037825928836,0.251323623765762,0.00561096879173258,0.0911458333333333,0.0324074074074074,0.167087333081381,-0.92088,-21.77395,0.16709,0.01093,0.010551,NaN,0.094142,6.94413517761388,3.159435,0.093816,-0.114838,-0.043698,0.06058,3.573686,-1.285558,-0.084786,0.153328,-0.28114,0.081786,0.005117,-0.084368,0.744099610400516,0.397130595015663,0,1.74538851768046,-4.45563795768735,2.47459859596035,9999,-0.561893738611147,6.59684205901939,9999,-543.198920641918,0,9999,0.0258936254304533,0,26.7690278606077,1,0,0,1,0,0,0,1,0,0,0,6.5,5.75
